r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.1119,0.961,0.15759134180803985,0.07331716624502665,0.151519595937281,0.07881225100970954,0.9594606131074399,0.003937002436618199,50,0.9868182075789556,0.0131817969116192,50,0.9983981405904682,3.9120230053781455
0.1119,0.962,0.1537776182900868,0.10156123029362102,0.1706500817084488,0.09487311758482254,0.9603632026669949,0.00435797854897709,50,0.9865703549146683,0.01342964523654323,50,0.9982985474708888,3.9120230053781455
0.1119,0.963,0.15059289836502457,0.07271964115498637,0.15864852722025982,0.08287148399602245,0.9617336766474149,0.0035687074515324594,50,0.9859859159776962,0.014014084721795595,50,0.9986850224791433,3.9120230053781455
0.1119,0.964,0.15605664216837253,0.09884179148562282,0.16616043175500134,0.0908288818584086,0.9624858741514585,0.003921044638339688,50,0.9866940233062798,0.013305973268053098,50,0.9984293300326333,3.9120230053781455
0.1119,0.965,0.13799401649410306,0.06426307263157874,0.16251234033291492,0.07971295117346743,0.963585334276428,0.004007377684672285,50,0.9863104336760568,0.013689570597913809,50,0.9985340251569202,3.9120230053781455
0.1119,0.966,0.13570628943124208,0.07347532486828952,0.14964413859836362,0.08670290964588222,0.9644117175028787,0.0039027482192925786,50,0.9857597133444942,0.014240282316142496,50,0.9983558152203713,3.9120230053781455
0.1119,0.967,0.1427440740863185,0.06860983259758974,0.16344607016731844,0.10153816722043588,0.965245328991221,0.004159533797667945,50,0.9868898388072006,0.013110167497453222,50,0.9981854488016763,3.9120230053781455
0.1119,0.968,0.16151799623690558,0.07120265791753422,0.17890551662958504,0.10199712174418717,0.9673661366584848,0.005023971007201395,50,0.9866649682365269,0.013335032683282328,50,0.9993451824984347,3.9120230053781455
0.1119,0.969,0.13009584927165693,0.06591476485963671,0.17024795383719496,0.09046083304015727,0.9685974660995553,0.005195839004964141,50,0.9869568855660721,0.013043121428560346,50,0.9995845883380344,3.9120230053781455
0.1119,0.97,0.12960929863867388,0.07018347095811735,0.15577984732045663,0.0940490868605135,0.9689963737609933,0.005243819048149254,50,0.9872509026347465,0.01274910745187698,50,0.9989653337742199,3.9120230053781455
0.1119,0.971,0.15595881769960812,0.08530381630209341,0.1485969388297949,0.09394422720029162,0.9698413401207883,0.0056126308492306645,50,0.9869199738856698,0.01308003364772978,50,0.9988067354488036,3.9120230053781455
0.1119,0.972,0.16266596462829402,0.08935104169308172,0.15135606366056228,0.09053016145691496,0.9703734188637693,0.005831393261421792,50,0.9863624203299127,0.013637582632293019,50,0.9983265626170466,3.9120230053781455
0.1119,0.973,0.13712066372703055,0.07421481618948765,0.14548502540364158,0.08420745983097462,0.9710027765958759,0.005503344448172307,50,0.9866305929047692,0.013369410800694521,50,0.9979473551858951,3.9120230053781455
0.1119,0.974,0.12800801123424274,0.08028156102237222,0.12959590673619503,0.07655705483858206,0.9718408572404834,0.005761465413396165,50,0.98678932883526,0.013210681399575036,50,0.9977832209861226,3.9120230053781455
0.1119,0.975,0.15072767958393507,0.08001454416933751,0.16512480780603256,0.09865161578703195,0.9724855147503105,0.00577086380484128,50,0.987039909748955,0.01296009533746626,50,0.9974210407695493,3.9120230053781455
0.1119,0.976,0.13590288605818387,0.0726312557637302,0.16161943973965556,0.07885840358643843,0.9745579840947527,0.004510035356546763,50,0.9878325274853879,0.012167480916741637,50,0.9985225246872467,3.9120230053781455
0.1119,0.977,0.14519787321411734,0.09913061236021115,0.1618798033799181,0.09903828415571948,0.9754450394917863,0.004753587025676075,50,0.9877714627990415,0.012228540181390808,50,0.9984084334613985,3.9120230053781455
0.1119,0.978,0.13176285697288534,0.07494955566923432,0.15985573874008738,0.09133702622550213,0.9764723375907997,0.004824075431918988,50,0.9873535072235571,0.012646489509100706,50,0.9984379729967277,3.9120230053781455
0.1119,0.979,0.12786144595713286,0.08957471901374353,0.1542488728614914,0.09169424932223735,0.9778953724042959,0.004295146403995576,50,0.9873082909115669,0.012691713341120618,50,0.998871677634623,3.9120230053781455
